gs_text34,iso3,weight,age,sex
Bite of Venomous Animal,YEM,0.00007649,10,1
Diarrhea/Dysentery,YEM,0.01926978,10,1
Drowning,YEM,0.00119987,10,1
Encephalitis,YEM,0.00447309,10,1
Falls,YEM,0.00174474,10,1
Fires,YEM,0.00044587,10,1
Hemorrhagic fever,YEM,0.00008052,10,1
Malaria,YEM,0.10346986,10,1
Measles,YEM,0.0001593,10,1
Meningitis,YEM,0.0127706,10,1
Other Cancers,YEM,0.06902096,10,1
Other Cardiovascular Diseases,YEM,0.18282436,10,1
Other Defined Causes of Child Deaths,YEM,0.16694496,10,1
Other Digestive Diseases,YEM,0.0125766,10,1
Other Infectious Diseases,YEM,0.06338509,10,1
Pneumonia,YEM,0.34012509,10,1
Poisonings,YEM,0.01146129,10,1
Road Traffic,YEM,0.00587291,10,1
Sepsis,YEM,0.00293938,10,1
Violent Death,YEM,0.00004154,10,1
AIDS,YEM,0.00011347,0,0
Bite of Venomous Animal,YEM,8.10E-06,0,0
Diarrhea/Dysentery,YEM,0.42465757,0,0
Drowning,YEM,0.00013888,0,0
Encephalitis,YEM,0.00590862,0,0
Falls,YEM,0.00085867,0,0
Fires,YEM,0.0000944,0,0
Hemorrhagic fever,YEM,0.00007695,0,0
Malaria,YEM,0.03834583,0,0
Measles,YEM,0.00017094,0,0
Meningitis,YEM,0.01305442,0,0
Other Cancers,YEM,0.00408846,0,0
Other Cardiovascular Diseases,YEM,0.07435594,0,0
Other Defined Causes of Child Deaths,YEM,0.27018429,0,0
Other Digestive Diseases,YEM,0,0,0
Other Infectious Diseases,YEM,0.06134668,0,0
Pneumonia,YEM,0.1013679,0,0
Poisonings,YEM,0.00185252,0,0
Road Traffic,YEM,0.0006776,0,0
Sepsis,YEM,0.00268646,0,0
Violent Death,YEM,0.00001234,0,0
AIDS,YEM,0.0001249,0,1
Bite of Venomous Animal,YEM,0.00001079,0,1
